text,label
"Winner!: Hello Friend, Your credit score has changed. Update your info immediately. Unsubscribe here.",spam
"Q3 Report: Hey, Please find the attached document regarding the Q3 sales. Cheers,",ham
"Loan Offer: Hello Friend, You have a new secure message. Click link to read. Click here now!",spam
"URGENT: Dear Customer, Exclusive offer: Get a free iPhone if you complete this survey. Apply now,",spam
Investment: Congratulations! Lose 10 lbs in 2 days with this miracle pill! Click here now!,spam
"Loan Offer: Dear Customer, Invest in Bitcoin now and double your money in 24 hours. Unsubscribe here.",spam
Winner!: URGENT NOTICE: Exclusive offer: Get a free iPhone if you complete this survey. Don't wait!,spam
"Crypto: Dear Customer, Invest in Bitcoin now and double your money in 24 hours. Act immediately!",spam
Crypto: URGENT NOTICE: Exclusive offer: Get a free iPhone if you complete this survey. Click here now!,spam
"Vacation: Good morning, Here are the notes from yesterday's brainstorming session. Best,",ham
"Q3 Report: Hey, Can you review my pull request when you have a moment? Thanks,",ham
"Notes: Hi team, Can you send over the updated slide deck? Thanks,",ham
Investment: Congratulations! Your account has been flagged for suspicious activity. Verify now. Don't wait!,spam
"Notes: Just checking in, Please find the attached document regarding the Q3 sales. Thanks,",ham
"Resume: Good morning, Great job on the presentation today! See you soon,",ham
Verify Account: URGENT NOTICE: Exclusive offer: Get a free iPhone if you complete this survey. Unsubscribe here.,spam
"Vacation: Just checking in, Please find the attached document regarding the Q3 sales. Cheers,",ham
"Q3 Report: Hi team, I'll be out of office next week for vacation. Regards,",ham
"Q3 Report: Hi team, Please find the attached document regarding the Q3 sales. Cheers,",ham
"Q3 Report: Hi team, Please find the attached document regarding the Q3 sales. See you soon,",ham
"Vacation: Just checking in, I'll be out of office next week for vacation. Thanks,",ham
URGENT: Attention! Lose 10 lbs in 2 days with this miracle pill! Unsubscribe here.,spam
Winner!: URGENT NOTICE: Nigerian Prince needs assistance transferring funds. Keep 10%. Act immediately!,spam
"URGENT: Hello Friend, Lose 10 lbs in 2 days with this miracle pill! Don't wait!",spam
"Loan Offer: Congratulations! Your account has been flagged for suspicious activity. Verify now. Apply now,",spam
Crypto: URGENT NOTICE: Lose 10 lbs in 2 days with this miracle pill! Don't wait!,spam
"Loan Offer: Dear Customer, Your account has been flagged for suspicious activity. Verify now. Don't wait!",spam
"Dating: Dear Customer, Lose 10 lbs in 2 days with this miracle pill! Unsubscribe here.",spam
Loan Offer: Attention! Nigerian Prince needs assistance transferring funds. Keep 10%. Don't wait!,spam
"Family: Dear colleague, Please find the attached document regarding the Q3 sales. See you soon,",ham
"Dating: Dear Customer, Lose 10 lbs in 2 days with this miracle pill! Act immediately!",spam
Winner!: URGENT NOTICE: Invest in Bitcoin now and double your money in 24 hours. Click here now!,spam
Free Gift: Congratulations! Exclusive offer: Get a free iPhone if you complete this survey. Don't wait!,spam
Free Gift: Congratulations! Your account has been flagged for suspicious activity. Verify now. Click here now!,spam
"Vacation: Hi team, Are we still on for the meeting at 10 AM tomorrow? Regards,",ham
"Free Gift: Attention! You have won a lottery prize of $5,000,000! Click here to claim. Unsubscribe here.",spam
"Family: Just checking in, I'll be out of office next week for vacation. Regards,",ham
"Crypto: Dear Customer, Hot singles in your area want to meet you tonight! Apply now,",spam
"Vacation: Good morning, Great job on the presentation today! Thanks,",ham
"Dating: Hello Friend, You have a new secure message. Click link to read. Don't wait!",spam
"Notes: Hello, Here are the notes from yesterday's brainstorming session. Regards,",ham
"Notes: Good morning, Are we still on for the meeting at 10 AM tomorrow? See you soon,",ham
"Resume: Good morning, Please find the attached document regarding the Q3 sales. Regards,",ham
Investment: Attention! Your account has been flagged for suspicious activity. Verify now. Unsubscribe here.,spam
"Loan Offer: Dear Customer, Your credit score has changed. Update your info immediately. Apply now,",spam
"Lunch?: Hey, Can you review my pull request when you have a moment? Best,",ham
"Free Gift: Hello Friend, Exclusive offer: Get a free iPhone if you complete this survey. Don't wait!",spam
"Invoice: Just checking in, Please find the attached document regarding the Q3 sales. Cheers,",ham
"Project Update: Just checking in, Are we still on for the meeting at 10 AM tomorrow? Best,",ham
"Lunch?: Hi team, I'll be out of office next week for vacation. See you soon,",ham
Dating: Attention! Your credit score has changed. Update your info immediately. Click here now!,spam
Crypto: URGENT NOTICE: Nigerian Prince needs assistance transferring funds. Keep 10%. Unsubscribe here.,spam
"Vacation: Good morning, The invoice #1023 has been paid successfully. See you soon,",ham
"Notes: Dear colleague, Please find the attached document regarding the Q3 sales. See you soon,",ham
"Dating: Dear Customer, You have won a lottery prize of $5,000,000! Click here to claim. Unsubscribe here.",spam
Verify Account: Attention! Invest in Bitcoin now and double your money in 24 hours. Act immediately!,spam
Dating: URGENT NOTICE: You have a new secure message. Click link to read. Act immediately!,spam
"Invoice: Dear colleague, Here are the notes from yesterday's brainstorming session. See you soon,",ham
"Resume: Hey, Can you review my pull request when you have a moment? Regards,",ham
"Family: Good morning, Here are the notes from yesterday's brainstorming session. Cheers,",ham
"Meeting: Dear colleague, Let's grab lunch at the new place downstairs. See you soon,",ham
"Investment: Hello Friend, Exclusive offer: Get a free iPhone if you complete this survey. Unsubscribe here.",spam
Dating: URGENT NOTICE: Your account has been flagged for suspicious activity. Verify now. Act immediately!,spam
"Notes: Hey, Great job on the presentation today! See you soon,",ham
"Loan Offer: Congratulations! Hot singles in your area want to meet you tonight! Apply now,",spam
"Crypto: Hello Friend, Hot singles in your area want to meet you tonight! Act immediately!",spam
"Vacation: Hello, The invoice #1023 has been paid successfully. Best,",ham
"Lunch?: Hello, Great job on the presentation today! See you soon,",ham
"Project Update: Hey, Can you review my pull request when you have a moment? Regards,",ham
"Q3 Report: Good morning, Are we still on for the meeting at 10 AM tomorrow? See you soon,",ham
"Loan Offer: Dear Customer, Lose 10 lbs in 2 days with this miracle pill! Unsubscribe here.",spam
Winner!: Congratulations! Hot singles in your area want to meet you tonight! Don't wait!,spam
"Vacation: Good morning, Here are the notes from yesterday's brainstorming session. See you soon,",ham
"Q3 Report: Just checking in, I'll be out of office next week for vacation. Thanks,",ham
URGENT: Attention! Hot singles in your area want to meet you tonight! Unsubscribe here.,spam
"Family: Just checking in, I'll be out of office next week for vacation. Regards,",ham
"Lunch?: Hey, Here are the notes from yesterday's brainstorming session. Thanks,",ham
"Notes: Good morning, Great job on the presentation today! See you soon,",ham
"Family: Hi team, The invoice #1023 has been paid successfully. Best,",ham
"Invoice: Good morning, Great job on the presentation today! Regards,",ham
"Family: Hello, Can you send over the updated slide deck? Best,",ham
"Dating: Dear Customer, You have a new secure message. Click link to read. Apply now,",spam
Investment: Attention! Your account has been flagged for suspicious activity. Verify now. Don't wait!,spam
"Free Gift: Attention! Exclusive offer: Get a free iPhone if you complete this survey. Apply now,",spam
"Invoice: Good morning, Great job on the presentation today! Cheers,",ham
"Family: Hello, Are we still on for the meeting at 10 AM tomorrow? Cheers,",ham
Dating: Attention! Nigerian Prince needs assistance transferring funds. Keep 10%. Don't wait!,spam
Loan Offer: Attention! Your credit score has changed. Update your info immediately. Act immediately!,spam
"Invoice: Just checking in, The invoice #1023 has been paid successfully. See you soon,",ham
"Notes: Good morning, Can you review my pull request when you have a moment? Best,",ham
"Vacation: Hi team, I'll be out of office next week for vacation. Thanks,",ham
"Verify Account: Dear Customer, Nigerian Prince needs assistance transferring funds. Keep 10%. Click here now!",spam
Dating: URGENT NOTICE: Invest in Bitcoin now and double your money in 24 hours. Click here now!,spam
"Q3 Report: Good morning, Here are the notes from yesterday's brainstorming session. Regards,",ham
Dating: URGENT NOTICE: Lose 10 lbs in 2 days with this miracle pill! Don't wait!,spam
"Dating: Hello Friend, Exclusive offer: Get a free iPhone if you complete this survey. Apply now,",spam
"Crypto: Attention! You have won a lottery prize of $5,000,000! Click here to claim. Don't wait!",spam
Investment: Congratulations! Your account has been flagged for suspicious activity. Verify now. Unsubscribe here.,spam
"Dating: Attention! You have won a lottery prize of $5,000,000! Click here to claim. Unsubscribe here.",spam
Free Gift: URGENT NOTICE: Lose 10 lbs in 2 days with this miracle pill! Don't wait!,spam
"Meeting: Hello, Great job on the presentation today! Best,",ham
"Invoice: Hey, Please find the attached document regarding the Q3 sales. Thanks,",ham
Verify Account: URGENT NOTICE: Exclusive offer: Get a free iPhone if you complete this survey. Unsubscribe here.,spam
"Lunch?: Hi team, Great job on the presentation today! Best,",ham
"Q3 Report: Hey, Can you send over the updated slide deck? Best,",ham
Free Gift: Congratulations! Hot singles in your area want to meet you tonight! Don't wait!,spam
"Project Update: Hello, Here are the notes from yesterday's brainstorming session. Thanks,",ham
"Dating: Hello Friend, Nigerian Prince needs assistance transferring funds. Keep 10%. Click here now!",spam
"Loan Offer: Hello Friend, You have won a lottery prize of $5,000,000! Click here to claim. Don't wait!",spam
"Free Gift: Hello Friend, Your credit score has changed. Update your info immediately. Don't wait!",spam
"Invoice: Hi team, Can you review my pull request when you have a moment? Thanks,",ham
"Vacation: Hello, I'll be out of office next week for vacation. Best,",ham
Loan Offer: Attention! Your account has been flagged for suspicious activity. Verify now. Act immediately!,spam
"Dating: Attention! You have a new secure message. Click link to read. Apply now,",spam
"Investment: Dear Customer, Your account has been flagged for suspicious activity. Verify now. Don't wait!",spam
"Invoice: Just checking in, Let's grab lunch at the new place downstairs. Regards,",ham
"Meeting: Hello, Please find the attached document regarding the Q3 sales. Cheers,",ham
"Project Update: Dear colleague, I'll be out of office next week for vacation. Cheers,",ham
Investment: Attention! Lose 10 lbs in 2 days with this miracle pill! Click here now!,spam
"Dating: Hello Friend, Your account has been flagged for suspicious activity. Verify now. Act immediately!",spam
"Free Gift: Dear Customer, You have won a lottery prize of $5,000,000! Click here to claim. Act immediately!",spam
"Verify Account: Attention! Your account has been flagged for suspicious activity. Verify now. Apply now,",spam
"Family: Just checking in, Are we still on for the meeting at 10 AM tomorrow? See you soon,",ham
"Verify Account: Dear Customer, Exclusive offer: Get a free iPhone if you complete this survey. Don't wait!",spam
"Winner!: Hello Friend, Nigerian Prince needs assistance transferring funds. Keep 10%. Don't wait!",spam
Dating: Congratulations! Nigerian Prince needs assistance transferring funds. Keep 10%. Act immediately!,spam
"Crypto: Hello Friend, You have won a lottery prize of $5,000,000! Click here to claim. Act immediately!",spam
"Dating: URGENT NOTICE: Your credit score has changed. Update your info immediately. Apply now,",spam
"Free Gift: Dear Customer, You have won a lottery prize of $5,000,000! Click here to claim. Don't wait!",spam
"Crypto: Hello Friend, Your account has been flagged for suspicious activity. Verify now. Act immediately!",spam
"Dating: Hello Friend, Hot singles in your area want to meet you tonight! Act immediately!",spam
"Meeting: Hey, Are we still on for the meeting at 10 AM tomorrow? Cheers,",ham
"Project Update: Good morning, Can you send over the updated slide deck? Cheers,",ham
"Invoice: Just checking in, Here are the notes from yesterday's brainstorming session. Best,",ham
Investment: Congratulations! Hot singles in your area want to meet you tonight! Unsubscribe here.,spam
"Investment: Hello Friend, Nigerian Prince needs assistance transferring funds. Keep 10%. Unsubscribe here.",spam
"URGENT: Dear Customer, Hot singles in your area want to meet you tonight! Act immediately!",spam
Verify Account: URGENT NOTICE: Invest in Bitcoin now and double your money in 24 hours. Don't wait!,spam
Investment: Attention! You have a new secure message. Click link to read. Unsubscribe here.,spam
URGENT: Attention! You have a new secure message. Click link to read. Don't wait!,spam
"Lunch?: Dear colleague, Can you send over the updated slide deck? Thanks,",ham
Dating: Congratulations! You have a new secure message. Click link to read. Click here now!,spam
"Resume: Hey, Great job on the presentation today! See you soon,",ham
"Family: Just checking in, I'll be out of office next week for vacation. Thanks,",ham
Verify Account: URGENT NOTICE: Your account has been flagged for suspicious activity. Verify now. Click here now!,spam
"Meeting: Good morning, Let's grab lunch at the new place downstairs. See you soon,",ham
"Invoice: Hello, I'll be out of office next week for vacation. Thanks,",ham
"Meeting: Just checking in, I'll be out of office next week for vacation. Cheers,",ham
"Q3 Report: Hello, Can you review my pull request when you have a moment? Best,",ham
"Project Update: Dear colleague, Can you send over the updated slide deck? Thanks,",ham
"Notes: Dear colleague, Let's grab lunch at the new place downstairs. Cheers,",ham
"Q3 Report: Just checking in, Can you send over the updated slide deck? Regards,",ham
"Free Gift: Dear Customer, Nigerian Prince needs assistance transferring funds. Keep 10%. Unsubscribe here.",spam
"Q3 Report: Dear colleague, The invoice #1023 has been paid successfully. Regards,",ham
"Free Gift: Dear Customer, Lose 10 lbs in 2 days with this miracle pill! Act immediately!",spam
"Invoice: Hello, Please find the attached document regarding the Q3 sales. Best,",ham
"Invoice: Just checking in, Here are the notes from yesterday's brainstorming session. Thanks,",ham
"Family: Hello, Are we still on for the meeting at 10 AM tomorrow? Best,",ham
"Free Gift: Hello Friend, Your credit score has changed. Update your info immediately. Apply now,",spam
"Q3 Report: Good morning, The invoice #1023 has been paid successfully. Cheers,",ham
"Project Update: Good morning, Here are the notes from yesterday's brainstorming session. Regards,",ham
"Notes: Hello, The invoice #1023 has been paid successfully. Regards,",ham
"Crypto: Congratulations! You have won a lottery prize of $5,000,000! Click here to claim. Unsubscribe here.",spam
"Project Update: Dear colleague, Here are the notes from yesterday's brainstorming session. Best,",ham
"Winner!: Dear Customer, Nigerian Prince needs assistance transferring funds. Keep 10%. Act immediately!",spam
"Family: Hello, Here are the notes from yesterday's brainstorming session. Best,",ham
URGENT: URGENT NOTICE: Hot singles in your area want to meet you tonight! Don't wait!,spam
"Investment: Dear Customer, You have won a lottery prize of $5,000,000! Click here to claim. Don't wait!",spam
"Project Update: Good morning, Let's grab lunch at the new place downstairs. See you soon,",ham
"Q3 Report: Hi team, I'll be out of office next week for vacation. See you soon,",ham
"Dating: Dear Customer, Hot singles in your area want to meet you tonight! Don't wait!",spam
"Winner!: Dear Customer, Invest in Bitcoin now and double your money in 24 hours. Act immediately!",spam
Verify Account: URGENT NOTICE: Hot singles in your area want to meet you tonight! Don't wait!,spam
"Vacation: Dear colleague, The invoice #1023 has been paid successfully. Best,",ham
"Loan Offer: Dear Customer, Your credit score has changed. Update your info immediately. Don't wait!",spam
"Crypto: Hello Friend, Your credit score has changed. Update your info immediately. Apply now,",spam
"Meeting: Good morning, Please find the attached document regarding the Q3 sales. See you soon,",ham
"Crypto: Dear Customer, You have won a lottery prize of $5,000,000! Click here to claim. Apply now,",spam
"Meeting: Hi team, Great job on the presentation today! See you soon,",ham
"Meeting: Good morning, Let's grab lunch at the new place downstairs. Best,",ham
"Family: Hello, Please find the attached document regarding the Q3 sales. Regards,",ham
"Lunch?: Good morning, I'll be out of office next week for vacation. Cheers,",ham
"Family: Dear colleague, Let's grab lunch at the new place downstairs. Regards,",ham
"Lunch?: Hi team, Great job on the presentation today! Best,",ham
"Lunch?: Good morning, The invoice #1023 has been paid successfully. Thanks,",ham
"Winner!: Hello Friend, Invest in Bitcoin now and double your money in 24 hours. Act immediately!",spam
"Investment: Dear Customer, Invest in Bitcoin now and double your money in 24 hours. Unsubscribe here.",spam
"Family: Hey, Please find the attached document regarding the Q3 sales. Regards,",ham
Dating: Attention! Your credit score has changed. Update your info immediately. Don't wait!,spam
"Resume: Hi team, The invoice #1023 has been paid successfully. Regards,",ham
"Winner!: Attention! Your credit score has changed. Update your info immediately. Apply now,",spam
"Meeting: Good morning, Great job on the presentation today! Best,",ham
"Free Gift: Hello Friend, You have a new secure message. Click link to read. Click here now!",spam
URGENT: Attention! Your credit score has changed. Update your info immediately. Unsubscribe here.,spam
"Meeting: Dear colleague, Let's grab lunch at the new place downstairs. See you soon,",ham
"Meeting: Dear colleague, The invoice #1023 has been paid successfully. Regards,",ham
URGENT: Attention! Invest in Bitcoin now and double your money in 24 hours. Don't wait!,spam
Verify Account: Congratulations! Your account has been flagged for suspicious activity. Verify now. Act immediately!,spam
"Family: Good morning, Let's grab lunch at the new place downstairs. Regards,",ham
"Winner!: Hello Friend, You have a new secure message. Click link to read. Apply now,",spam
"Meeting: Just checking in, Can you review my pull request when you have a moment? Thanks,",ham
"Notes: Just checking in, Can you review my pull request when you have a moment? See you soon,",ham
"Meeting: Dear colleague, Please find the attached document regarding the Q3 sales. Best,",ham
"Free Gift: Dear Customer, Your account has been flagged for suspicious activity. Verify now. Apply now,",spam
"Notes: Dear colleague, Are we still on for the meeting at 10 AM tomorrow? Thanks,",ham
"Invoice: Just checking in, Great job on the presentation today! Best,",ham
"Vacation: Good morning, Can you review my pull request when you have a moment? Regards,",ham
"Q3 Report: Dear colleague, Here are the notes from yesterday's brainstorming session. Regards,",ham
"Lunch?: Hello, Great job on the presentation today! Regards,",ham
"Verify Account: URGENT NOTICE: You have won a lottery prize of $5,000,000! Click here to claim. Apply now,",spam
"Notes: Hey, Great job on the presentation today! Regards,",ham
"Investment: Dear Customer, Exclusive offer: Get a free iPhone if you complete this survey. Act immediately!",spam
"URGENT: Attention! You have won a lottery prize of $5,000,000! Click here to claim. Apply now,",spam
"Q3 Report: Hi team, Let's grab lunch at the new place downstairs. Best,",ham
"Project Update: Hello, I'll be out of office next week for vacation. Best,",ham
"Vacation: Just checking in, Can you review my pull request when you have a moment? Thanks,",ham
"Meeting: Just checking in, Can you review my pull request when you have a moment? Thanks,",ham
URGENT: Attention! Exclusive offer: Get a free iPhone if you complete this survey. Unsubscribe here.,spam
"Loan Offer: Dear Customer, Invest in Bitcoin now and double your money in 24 hours. Act immediately!",spam
"Invoice: Just checking in, Are we still on for the meeting at 10 AM tomorrow? Cheers,",ham
"Verify Account: Congratulations! You have won a lottery prize of $5,000,000! Click here to claim. Act immediately!",spam
"Winner!: Hello Friend, Lose 10 lbs in 2 days with this miracle pill! Act immediately!",spam
"Meeting: Just checking in, Can you review my pull request when you have a moment? See you soon,",ham
"Dating: Hello Friend, Your credit score has changed. Update your info immediately. Don't wait!",spam
"Invoice: Just checking in, I'll be out of office next week for vacation. Thanks,",ham
"Dating: Hello Friend, Nigerian Prince needs assistance transferring funds. Keep 10%. Apply now,",spam
"Winner!: Hello Friend, Invest in Bitcoin now and double your money in 24 hours. Unsubscribe here.",spam
"Free Gift: Dear Customer, Exclusive offer: Get a free iPhone if you complete this survey. Don't wait!",spam
"URGENT: Dear Customer, You have a new secure message. Click link to read. Unsubscribe here.",spam
Crypto: URGENT NOTICE: Exclusive offer: Get a free iPhone if you complete this survey. Don't wait!,spam
"Invoice: Hello, Can you review my pull request when you have a moment? Regards,",ham
Dating: Congratulations! Nigerian Prince needs assistance transferring funds. Keep 10%. Unsubscribe here.,spam
Free Gift: URGENT NOTICE: Your credit score has changed. Update your info immediately. Unsubscribe here.,spam
"Family: Good morning, Let's grab lunch at the new place downstairs. Regards,",ham
"Notes: Just checking in, Are we still on for the meeting at 10 AM tomorrow? Thanks,",ham
Investment: Congratulations! Your account has been flagged for suspicious activity. Verify now. Act immediately!,spam
Free Gift: URGENT NOTICE: Invest in Bitcoin now and double your money in 24 hours. Unsubscribe here.,spam
Dating: URGENT NOTICE: Invest in Bitcoin now and double your money in 24 hours. Act immediately!,spam
"URGENT: Dear Customer, Nigerian Prince needs assistance transferring funds. Keep 10%. Unsubscribe here.",spam
"Lunch?: Hi team, Are we still on for the meeting at 10 AM tomorrow? Best,",ham
"Lunch?: Hey, Can you send over the updated slide deck? Thanks,",ham
"Dating: Hello Friend, Your credit score has changed. Update your info immediately. Don't wait!",spam
"URGENT: Hello Friend, Exclusive offer: Get a free iPhone if you complete this survey. Click here now!",spam
"Meeting: Hello, Can you send over the updated slide deck? See you soon,",ham
Dating: URGENT NOTICE: You have a new secure message. Click link to read. Don't wait!,spam
"Crypto: Dear Customer, Hot singles in your area want to meet you tonight! Act immediately!",spam
"Resume: Hey, The invoice #1023 has been paid successfully. Regards,",ham
"URGENT: Hello Friend, Your account has been flagged for suspicious activity. Verify now. Act immediately!",spam
"Project Update: Hello, Can you send over the updated slide deck? Cheers,",ham
"Free Gift: Dear Customer, Exclusive offer: Get a free iPhone if you complete this survey. Don't wait!",spam
"Resume: Hi team, The invoice #1023 has been paid successfully. Cheers,",ham
"Dating: Dear Customer, Your account has been flagged for suspicious activity. Verify now. Unsubscribe here.",spam
"Crypto: Hello Friend, Lose 10 lbs in 2 days with this miracle pill! Unsubscribe here.",spam
"Notes: Hello, Can you review my pull request when you have a moment? Regards,",ham
"Vacation: Hi team, Can you send over the updated slide deck? Cheers,",ham
"Q3 Report: Just checking in, Great job on the presentation today! Regards,",ham
Dating: Congratulations! Lose 10 lbs in 2 days with this miracle pill! Don't wait!,spam
"Resume: Just checking in, Great job on the presentation today! Cheers,",ham
Investment: Congratulations! Hot singles in your area want to meet you tonight! Act immediately!,spam
"Crypto: Congratulations! Your account has been flagged for suspicious activity. Verify now. Apply now,",spam
"Q3 Report: Just checking in, Let's grab lunch at the new place downstairs. Regards,",ham
"Vacation: Hello, Great job on the presentation today! Best,",ham
"Verify Account: Attention! Hot singles in your area want to meet you tonight! Apply now,",spam
Loan Offer: URGENT NOTICE: Hot singles in your area want to meet you tonight! Click here now!,spam
"Invoice: Good morning, Are we still on for the meeting at 10 AM tomorrow? Best,",ham
Verify Account: URGENT NOTICE: You have a new secure message. Click link to read. Don't wait!,spam
Verify Account: URGENT NOTICE: Lose 10 lbs in 2 days with this miracle pill! Don't wait!,spam
"Dating: URGENT NOTICE: Invest in Bitcoin now and double your money in 24 hours. Apply now,",spam
"Vacation: Hello, Please find the attached document regarding the Q3 sales. See you soon,",ham
Investment: URGENT NOTICE: Hot singles in your area want to meet you tonight! Click here now!,spam
Dating: Attention! Nigerian Prince needs assistance transferring funds. Keep 10%. Click here now!,spam
"Verify Account: URGENT NOTICE: Your credit score has changed. Update your info immediately. Apply now,",spam
"Free Gift: Dear Customer, Nigerian Prince needs assistance transferring funds. Keep 10%. Don't wait!",spam
"Vacation: Hi team, Are we still on for the meeting at 10 AM tomorrow? Best,",ham
"Q3 Report: Hi team, Are we still on for the meeting at 10 AM tomorrow? Cheers,",ham
"Q3 Report: Just checking in, Great job on the presentation today! Thanks,",ham
"Meeting: Dear colleague, Great job on the presentation today! Thanks,",ham
"Meeting: Good morning, Can you send over the updated slide deck? See you soon,",ham
"Invoice: Hi team, Let's grab lunch at the new place downstairs. Thanks,",ham
"Verify Account: Hello Friend, Your credit score has changed. Update your info immediately. Unsubscribe here.",spam
"Investment: Attention! You have a new secure message. Click link to read. Apply now,",spam
"Notes: Good morning, The invoice #1023 has been paid successfully. See you soon,",ham
"Vacation: Just checking in, Can you review my pull request when you have a moment? Cheers,",ham
Verify Account: Congratulations! Exclusive offer: Get a free iPhone if you complete this survey. Act immediately!,spam
Investment: Congratulations! Exclusive offer: Get a free iPhone if you complete this survey. Unsubscribe here.,spam
Dating: Congratulations! Invest in Bitcoin now and double your money in 24 hours. Unsubscribe here.,spam
Verify Account: Attention! Hot singles in your area want to meet you tonight! Don't wait!,spam
Winner!: URGENT NOTICE: Your account has been flagged for suspicious activity. Verify now. Act immediately!,spam
"Project Update: Hello, Let's grab lunch at the new place downstairs. Cheers,",ham
"Lunch?: Good morning, Let's grab lunch at the new place downstairs. Best,",ham
"Q3 Report: Just checking in, Please find the attached document regarding the Q3 sales. Thanks,",ham
"Meeting: Hello, Please find the attached document regarding the Q3 sales. Cheers,",ham
"Lunch?: Good morning, Please find the attached document regarding the Q3 sales. Regards,",ham
"Crypto: URGENT NOTICE: Your credit score has changed. Update your info immediately. Apply now,",spam
"Resume: Hey, Are we still on for the meeting at 10 AM tomorrow? Cheers,",ham
Verify Account: Congratulations! Your account has been flagged for suspicious activity. Verify now. Don't wait!,spam
"Crypto: Dear Customer, Lose 10 lbs in 2 days with this miracle pill! Unsubscribe here.",spam
"Lunch?: Just checking in, Great job on the presentation today! See you soon,",ham
"Invoice: Hi team, Can you send over the updated slide deck? Cheers,",ham
Winner!: Attention! Hot singles in your area want to meet you tonight! Click here now!,spam
"Verify Account: Attention! Invest in Bitcoin now and double your money in 24 hours. Apply now,",spam
Verify Account: Congratulations! Your credit score has changed. Update your info immediately. Click here now!,spam
"Project Update: Hey, Are we still on for the meeting at 10 AM tomorrow? Best,",ham
"Invoice: Hi team, Can you review my pull request when you have a moment? Regards,",ham
"Lunch?: Dear colleague, I'll be out of office next week for vacation. Regards,",ham
Investment: Congratulations! Lose 10 lbs in 2 days with this miracle pill! Unsubscribe here.,spam
"Notes: Good morning, The invoice #1023 has been paid successfully. Best,",ham
Crypto: URGENT NOTICE: Exclusive offer: Get a free iPhone if you complete this survey. Don't wait!,spam
"Family: Dear colleague, Great job on the presentation today! Best,",ham
"Meeting: Hey, I'll be out of office next week for vacation. See you soon,",ham
"Dating: URGENT NOTICE: You have won a lottery prize of $5,000,000! Click here to claim. Don't wait!",spam
"Notes: Dear colleague, Here are the notes from yesterday's brainstorming session. Thanks,",ham
"Meeting: Just checking in, Let's grab lunch at the new place downstairs. Regards,",ham
"Lunch?: Hi team, Let's grab lunch at the new place downstairs. Regards,",ham
"Lunch?: Hello, Great job on the presentation today! Best,",ham
"Invoice: Dear colleague, I'll be out of office next week for vacation. Best,",ham
Crypto: Attention! Your account has been flagged for suspicious activity. Verify now. Don't wait!,spam
"Investment: Dear Customer, You have a new secure message. Click link to read. Act immediately!",spam
